press,act
1009.9,1.816
1009.9,1.808
1009.3,1.342
1008.3,1.229
1007.3,0.823
1006.8,1.026
1006,0.868
1006.6,0.613
1007.5,0.41
1008.1,0.282
1008.9,0.203
1009.4,0.098
1009.9,0.132
1010.2,0.06
1009.9,0.113
1009.3,0.124
1008.6,0.177
1008.2,0.231
1008.4,0.146
1008.9,0.208
1009.6,0.327
1009.9,0.362
1010.4,0.919
1011.3,1.435
1011.2,1.323
1011.1,1.485
1010.3,1.073
1009.4,1.288
1008.4,1.096
1007.8,0.846
1007.6,0.888
1007.5,0.692
1007.9,0.492
1008.3,0.654
1009.1,0.285
1009.6,0.081
1010.2,0.096
1010.2,0.15
1009.9,0.227
1009.1,0.15
1008.7,0.088
1008.6,0.065
1008.9,0.121
1009,0.046
1009.5,0.176
1010.3,0.296
1011,0.782
1011.5,1.078
1011.8,1.212
1011.6,1.43
1010.9,1.003
1009.7,0.847
1008.9,1.14
1008.6,1.212
1008.3,1.036
1008.7,0.87
1008.9,0.671
1009.5,0.73
1010,0.469
1010.5,0.039
1010.8,0.033
1010.5,0
1010.3,0.01
1009.8,0.026
1009,0.078
1008.6,0.029
1008.8,0.038
1008.9,0.081
1009.3,0.172
1010,0.294
1010.7,0.686
1011.4,1.221
1011.8,1.346
1011.4,1.581
1010.7,1.235
1009.6,1.157
1008.6,0.951
1008.1,1.015
1007.8,1.041
1008.1,0.497
1008.4,0.735
1008.9,0.852
1009.7,0.34
1010.5,0.058
1010.9,0.012
1011.1,0.174
1010.8,0.224
1009.9,0.247
1009.2,0.183
1008.7,0.101
1008.7,0.115
1008.7,0.132
1009.2,0.146
1009.9,0.39
1011.2,0.89
1011.9,1.219
1012.2,1.371
1012,1.885
1011.5,1.612
1010.6,1.343
1009.7,1.213
1008.8,1.166
1008.6,1.126
1008.6,0.927
1008.8,0.949
1009.4,0.708
1010.8,0.343
1011.2,0.098
1012.5,0.067
1012.5,0.059
1012.2,0.152
1011.3,0.138
1010.8,0.11
1010.3,0.107
1010.2,0.128
1010.5,0.25
1011,0.274
1011.3,0.491
1011.9,1.009
1012.3,1.265
1012.7,1.235
1012.8,1.774
1012.2,1.396
1011.4,1.095
1010.3,1.045
1009.6,0.964
1009,0.976
1008.7,0.747
1009.2,0.548
1009.8,0.509
1010.3,0.28
1011.3,0.009
1011.9,0.057
1012.2,0.057
1011.9,0.128
1011.3,0.119
1010.6,0.185
1010.2,0.221
1010.2,0.211
1010.7,0.298
1010.8,0.408
1011.6,0.559
1012.1,0.977
1012.7,1.278
1013,1.1
1013,1.923
1012.4,1.635
1011.4,1.278
1010.5,1.361
1009.8,1.117
1009.4,1.104
1009.4,0.883
