temp,act
23.9,0.038
23.5,0.081
23.5,0.172
23.9,0.294
26.8,0.686
28.9,1.221
30.5,1.346
31.4,1.581
32.5,1.235
33.2,1.157
33.9,0.951
31.2,1.015
30.7,1.041
30.3,0.497
29.5,0.735
28.4,0.852
27.8,0.34
27.2,0.058
26.8,0.012
26.5,0.174
26.2,0.224
25.7,0.247
25.3,0.183
25.2,0.101
24.7,0.115
25,0.132
24.8,0.146
25.3,0.39
27.5,0.89
29.3,1.219
30,1.371
32,1.885
31.1,1.612
31.5,1.343
30.9,1.213
31.5,1.166
30.9,1.126
28.7,0.927
29.4,0.949
28.8,0.708
27.8,0.343
26.9,0.098
26.3,0.067
26,0.059
25.7,0.152
25.3,0.138
25.1,0.11
24.6,0.107
24.5,0.128
24.1,0.25
24,0.274
24.4,0.491
26.9,1.009
28.8,1.265
29.3,1.235
30.7,1.774
31.2,1.396
31.2,1.095
30.9,1.045
31.7,0.964
31.4,0.976
31,0.747
29.9,0.548
28.7,0.509
27.7,0.28
26.9,0.009
26.4,0.057
25.9,0.057
25.4,0.128
25,0.119
24.6,0.185
24.1,0.221
23.8,0.211
23.5,0.298
23.4,0.408
24.1,0.559
26.4,0.977
28.5,1.278
29.7,1.1
31.5,1.923
32.2,1.635
32.6,1.278
32.6,1.361
33.5,1.117
31.5,1.104
31.5,0.883
30.1,0.726
29.1,0.813
28.2,0.351
27.2,0.087
26.3,0.013
25.5,0.02
25.1,0.094
24.7,0.087
24.2,0.127
23.9,0.155
23.6,0.163
23.4,0.167
23.4,0.242
24.3,0.5
26.6,0.875
29.3,1.352
30.5,1.598
30.4,2.458
31.9,2.015
31.3,1.28
31.3,1.269
31,1.049
28.8,1.038
28.3,0.648
26.8,0.288
27.3,0.258
24,0.11
24.9,0.015
25,0
24.8,0.004
24.6,0.004
24.5,0.008
24.2,0
