rad,act
-3.54,0.177
-3.54,0.231
-3.54,0.146
-3.54,0.208
-3.54,0.327
46.25,0.362
185.9,0.919
373.8,1.435
911.4,1.323
1179,1.485
1499,1.073
1318,1.288
1704,1.096
1995,0.846
1015,0.888
406.2,0.692
281.6,0.492
11.68,0.654
-3.54,0.285
-3.54,0.081
-3.48,0.096
-3.54,0.15
-3.54,0.227
-3.54,0.15
-3.54,0.088
-3.54,0.065
-3.54,0.121
-3.54,0.046
-3.54,0.176
45.26,0.296
171,0.782
303.6,1.078
813.5,1.212
2210,1.43
2262,1.003
2357,0.847
2565,1.14
2059,1.212
1928,1.036
792.3,0.87
203.6,0.671
5.051,0.73
-3.54,0.469
-3.54,0.039
-3.54,0.033
-3.54,0
-3.54,0.01
-3.54,0.026
-3.54,0.078
-3.54,0.029
-3.54,0.038
-3.54,0.081
-3.54,0.172
43.62,0.294
161.7,0.686
407.8,1.221
715.5,1.346
2222,1.581
2926,1.235
2869,1.157
2640,0.951
1494,1.015
1433,1.041
520.6,0.497
372.8,0.735
6.082,0.852
-3.38,0.34
-3.54,0.058
-3.53,0.012
-3.54,0.174
-3.54,0.224
-3.54,0.247
-3.54,0.183
-3.54,0.101
-3.54,0.115
-3.54,0.132
-3.54,0.146
42.2,0.39
182.4,0.89
354.8,1.219
815.7,1.371
2419,1.885
1543,1.612
1240,1.343
1048,1.213
827,1.166
557.8,1.126
215.3,0.927
269.8,0.949
1.887,0.708
-3.53,0.343
-3.52,0.098
-3.48,0.067
-3.54,0.059
-3.54,0.152
-3.54,0.138
-3.54,0.11
-3.54,0.107
-3.54,0.128
-3.54,0.25
-3.54,0.274
50.82,0.491
222.1,1.009
488.2,1.265
854.4,1.235
1847,1.774
2038,1.396
2114,1.095
2142,1.045
2247,0.964
1467,0.976
1038,0.747
309,0.548
2.899,0.509
-2.86,0.28
-3.54,0.009
-3.54,0.057
-3.54,0.057
-3.54,0.128
-3.54,0.119
-3.54,0.185
-3.54,0.221
-3.54,0.211
-3.54,0.298
-3.54,0.408
48.53,0.559
194.9,0.977
318.5,1.278
677.6,1.1
2452,1.923
2980,1.635
2122,1.278
2039,1.361
1624,1.117
832.9,1.104
701.1,0.883
113.8,0.726
1.197,0.813
-3.54,0.351
-3.54,0.087
-3.54,0.013
-3.54,0.02
-3.54,0.094
-3.54,0.087
-3.54,0.127
-3.54,0.155
-3.54,0.163
-3.54,0.167
-3.54,0.242
46.17,0.5
179.2,0.875
272.8,1.352
656.1,1.598
2301,2.458
1985,2.015
2182,1.28
1448,1.269
871.8,1.049
777.3,1.038
