hora,temp,press,ventvel,rad,chuva,act
0.086957,0.106195,0.457143,0.078947,0.000006,0,0.099268
0.130435,0.079646,0.5,0.078947,0,0,0.149308
0.173913,0.088496,0.542857,0.078947,0.011377,0,0.369406
0.217391,0.230088,0.642857,0.184211,0.050386,0,0.613914
0.26087,0.460177,0.728571,0.315789,0.078996,0,0.667209
0.304348,0.628319,0.742857,0.315789,0.228009,0,0.648495
0.347826,0.637168,0.714286,0.447368,0.707477,0,0.599268
0.391304,0.734513,0.642857,0.552632,0.713285,0,0.441416
0.434783,0.814159,0.528571,0.236842,0.856642,0,0.362083
0.478261,0.80531,0.385714,0.368421,0.81446,0,0.366558
0.521739,0.79646,0.342857,0.552632,0.604162,0,0.251424
0.565217,0.681416,0.3,0.421053,0.512156,0,0.209927
0.608696,0.716814,0.285714,0.394737,0.269304,0,0.132221
0.652174,0.610619,0.314286,0.289474,0.081106,0,0.09642
0.695652,0.530973,0.371429,0.210526,0.004664,0,0.09764
0.73913,0.486726,0.442857,0.184211,0.000165,0,0.053295
0.782609,0.40708,0.6,0.184211,0.000049,0,0.032954
0.826087,0.300885,0.642857,0.184211,0.000018,0,0.002848
0.869565,0.256637,0.742857,0.184211,0,0,0.007323
0.913043,0.20354,0.685714,0.131579,0,0,0.007323
0.956522,0.176991,0.614286,0.105263,0,0,0.032954
1,0.159292,0.542857,0.052632,0,0,0.028885
0,0.141593,0.471429,0.105263,0,0,0.034988
0.043478,0.123894,0.471429,0.131579,0,0,0.02441
0.086957,0.097345,0.485714,0.105263,0,0,0.047193
0.130435,0.079646,0.514286,0.157895,0,0,0.189585
0.173913,0.106195,0.571429,0.184211,0.012242,0,0.300651
0.217391,0.283186,0.642857,0.289474,0.049469,0,0.517494
0.26087,0.513274,0.757143,0.184211,0.074442,0,0.676973
0.304348,0.663717,0.842857,0.289474,0.222843,0,0.705858
0.347826,0.60177,0.842857,0.526316,0.700447,0,0.68633
0.391304,0.752212,0.771429,0.526316,0.872537,0,0.543531
0.434783,0.80531,0.657143,0.368421,1,0,0.493491
0.478261,0.814159,0.557143,0.657895,0.903409,0,0.425142
0.521739,0.79646,0.457143,0.578947,0.73835,0,0.373474
0.565217,0.80531,0.414286,0.342105,0.586739,0,0.334011
0.608696,0.725664,0.428571,0.210526,0.271841,0,0.156225
0.652174,0.584071,0.485714,0.368421,0.040788,0,0.091131
0.695652,0.486726,0.557143,0.289474,0.003304,0,0.151749
0.73913,0.451327,0.685714,0.236842,0,0,0.110659
0.782609,0.415929,0.771429,0.131579,0.000031,0,0.022783
0.826087,0.380531,0.828571,0.184211,0.000422,0,0.001627
0.869565,0.318584,0.8,0.105263,0,0,0.013832
0.913043,0.283186,0.742857,0.052632,0,0,0.021155
0.956522,0.265487,0.614286,0.184211,0,0,0.015053
1,0.221239,0.485714,0.078947,0,0,0.018308
0,0.176991,0.4,0.078947,0,0,0.050854
0.043478,0.168142,0.385714,0.026316,0,0,0.026444
0.086957,0.159292,0.385714,0,0,0,0.09764
0.130435,0.150442,0.442857,0,0,0,0.111473
0.173913,0.185841,0.557143,0.026316,0.012303,0,0.301465
0.217391,0.318584,0.685714,0.184211,0.059067,0,0.505696
0.26087,0.530973,0.771429,0.368421,0.094922,0,0.617168
0.304348,0.575221,0.8,0.289474,0.249711,0,0.66965
0.347826,0.575221,0.828571,0.394737,0.515519,0,0.730269
0.391304,0.610619,0.785714,0.394737,0.668658,0,0.552075
0.434783,0.716814,0.671429,0.710526,0.716036,0,0.417819
0.478261,0.761062,0.514286,0.5,0.758829,0,0.431652
0.521739,0.646018,0.385714,0.473684,0.462638,0,0.340521
0.565217,0.761062,0.328571,0.394737,0.432989,0,0.334011
0.608696,0.690265,0.357143,0.368421,0.337315,0,0.310822
0.652174,0.539823,0.471429,0.342105,0.061329,0,0.326282
0.695652,0.415929,0.5,0.236842,0.002339,0,0.349471
0.73913,0.362832,0.628571,0.289474,0.000003,0,0.287632
0.782609,0.318584,0.757143,0.157895,0.000183,0,0.040277
0.826087,0.318584,0.871429,0.157895,0.000379,0,0.032547
0.869565,0.318584,0.871429,0.131579,0.000636,0,0.021562
0.913043,0.283186,0.8,0.131579,0.000098,0,0.038649
0.956522,0.238938,0.714286,0.105263,0,0,0.037022
1,0.185841,0.571429,0,0,0,0.034174
0,0.185841,0.4,0.026316,0,0,0.041904
0.043478,0.159292,0.342857,0,0,0,0.060212
0.086957,0.141593,0.357143,0,0,0,0.036208
0.130435,0.097345,0.428571,0,0,0,0.11188
0.173913,0.132743,0.528571,0,0.012202,0,0.276648
0.217391,0.274336,0.642857,0.263158,0.052312,0,0.617982
0.26087,0.495575,0.714286,0.394737,0.099262,0,0.678194
0.304348,0.59292,0.771429,0.5,0.26475,0,0.548007
0.347826,0.610619,0.771429,0.447368,0.478839,0,0.514646
0.391304,0.584071,0.671429,0.578947,0.661322,0,0.554923
0.434783,0.575221,0.557143,0.605263,0.496567,0,0.514646
0.478261,0.769912,0.385714,0.763158,0.887515,0,0.388527
0.521739,0.761062,0.257143,0.605263,0.670186,0,0.250203
0.565217,0.752212,0.157143,0.5,0.6008,0,0.231896
0.608696,0.725664,0.228571,0.473684,0.331202,0,0.293735
0.652174,0.646018,0.314286,0.157895,0.075114,0,0.234744
0.695652,0.256637,0.542857,0.394737,0.001874,0,0.268511
0.73913,0.159292,0.671429,0.263158,0,0.013158,0.173312
0.782609,0.159292,0.757143,0,0.000339,0.013158,0.010985
0.826087,0.19469,0.714286,0.026316,0.0004,0,0.001221
0.869565,0.230088,0.8,0.026316,0.000926,0,0
0.913043,0.20354,0.785714,0,0.00051,0,0.001221
0.956522,0.185841,0.685714,0,0.000095,0,0.001221
1,0.115044,0.571429,0,0,0,0.005696
0,0.097345,0.485714,0,0.000012,0,0
0.043478,0.106195,0.457143,0,0.000003,0,0.004882
0.086957,0.088496,0.457143,0,0.000018,0,0.019528
0.130435,0.088496,0.542857,0,0,0,0.053702
0.173913,0.088496,0.671429,0,0.012988,0,0.150122
0.217391,0.247788,0.757143,0,0.056866,0,0.331164
0.26087,0.371681,0.828571,0.342105,0.105987,0.006579,0.571603
0.304348,0.477876,0.871429,0.5,0.237423,0,0.650122
0.347826,0.530973,0.871429,0.710526,0.546697,0,0.606998
0.391304,0.637168,0.8,0.736842,0.848695,0,0.49105
0.434783,0.646018,0.671429,1,0.969739,0,0.436127
0.478261,0.690265,0.557143,0.657895,0.804068,0,0.392189
0.521739,0.734513,0.414286,0.631579,0.700141,0,0.306753
0.565217,0.725664,0.371429,0.763158,0.606302,0,0.362897
0.608696,0.663717,0.357143,0.421053,0.388056,0,0.248169
0.652174,0.584071,0.428571,0.157895,0.053718,0,0.162327
0.695652,0.433628,0.528571,0.026316,0.002382,0,0.245728
0.73913,0.353982,0.614286,0,0,0,0.159886
0.782609,0.40708,0.757143,0.236842,0.000416,0,0.031733
0.826087,0.327434,0.828571,0.078947,0.000104,0,0.007323
0.869565,0.300885,0.842857,0.157895,0.000367,0,0.019528
0.913043,0.256637,0.814286,0.105263,0,0,0.026851
0.956522,0.221239,0.714286,0.131579,0,0,0.067128
1,0.176991,0.6,0.105263,0,0,0.037836
0,0.123894,0.542857,0,0,0,0.026444
0.043478,0.097345,0.542857,0,0,0,0.021562
0.086957,0.079646,0.571429,0,0,0,0.050041
0.130435,0.053097,0.614286,0,0,0,0.06428
0.173913,0.079646,0.7,0,0.012227,0,0.158666
0.217391,0.274336,0.785714,0.184211,0.047115,0,0.325875
0.26087,0.522124,0.842857,0.368421,0.072119,0,0.465419
0.304348,0.610619,0.871429,0.447368,0.113904,0,0.509357
0.347826,0.690265,0.814286,0.684211,0.811098,0,0.501221
0.391304,0.849558,0.714286,0.447368,0.918387,0,0.45118
0.434783,0.699115,0.614286,0.763158,0.722455,0,0.382832
0.478261,0.831858,0.514286,0.736842,0.837997,0,0.379577
0.521739,0.858407,0.457143,0.631579,0.8004,0,0.393816
0.565217,0.787611,0.4,0.5,0.483424,0,0.293328
0.608696,0.734513,0.385714,0.263158,0.340066,0,0.175346
0.652174,0.628319,0.4,0.210526,0.076796,0,0.206265
0.695652,0.469027,0.5,0.052632,0.003298,0,0.220911
0.73913,0.424779,0.6,0,0.000165,0,0.144426
0.782609,0.477876,0.757143,0.289474,0.000162,0,0.022783
0.826087,0.424779,0.842857,0.157895,0.00018,0,0
0.869565,0.380531,0.828571,0.210526,0,0,0.020342
0.913043,0.318584,0.8,0.236842,0,0,0.013019
0.956522,0.256637,0.728571,0.184211,0,0,0.022783
1,0.212389,0.657143,0.131579,0,0,0.059805
0,0.176991,0.542857,0.105263,0,0,0.028072
0.043478,0.132743,0.585714,0.105263,0,0,0.029699
0.086957,0.123894,0.585714,0.131579,0,0,0.08869
0.130435,0.097345,0.571429,0.078947,0,0,0.10415
0.173913,0.159292,0.614286,0.184211,0.011731,0,0.216843
0.217391,0.292035,0.771429,0.236842,0.050539,0,0.350285
0.26087,0.486726,0.828571,0.473684,0.078446,0,0.514646
0.304348,0.637168,0.828571,0.526316,0.120873,0,0.506916
0.347826,0.752212,0.814286,0.526316,0.798566,0,0.521155
0.391304,0.80531,0.728571,0.552632,0.911662,0,0.424736
0.434783,0.849558,0.614286,0.473684,0.888126,0,0.320993
0.478261,0.867257,0.514286,0.815789,0.933976,0,0.273393
0.521739,0.867257,0.442857,0.684211,0.810487,0,0.353133
0.565217,0.884956,0.371429,0.526316,0.608747,0,0.307974
0.608696,0.814159,0.342857,0.394737,0.368187,0,0.126932
0.652174,0.725664,0.4,0.184211,0.0819,0,0.078112
0.695652,0.584071,0.5,0.394737,0.003183,0,0.193653
0.73913,0.575221,0.614286,0.342105,0.000131,0,0.115541
0.782609,0.504425,0.714286,0.157895,0.000165,0,0.014239
0.826087,0.424779,0.771429,0.078947,0,0,0.010171
0.869565,0.371681,0.8,0.078947,0,0,0.01546
0.913043,0.336283,0.757143,0.052632,0,0,0.03987
0.956522,0.292035,0.642857,0.078947,0,0,0.01546
1,0.265487,0.528571,0.210526,0,0,0.03987
0,0.212389,0.442857,0.105263,0,0,0.051261
0.043478,0.20354,0.414286,0.052632,0,0,0.058177
0.086957,0.176991,0.428571,0.026316,0,0,0.095606
0.130435,0.168142,0.442857,0.052632,0,0,0.170871
0.173913,0.19469,0.514286,0.078947,0.012502,0,0.303906
0.217391,0.353982,0.6,0.289474,0.053259,0,0.513832
0.26087,0.566372,0.7,0.421053,0.104917,0,0.570789
0.304348,0.628319,0.757143,0.368421,0.231982,0,0.566314
0.347826,0.663717,0.757143,0.552632,0.718481,0,0.651343
0.391304,0.752212,0.671429,0.605263,0.749659,0,0.504068
0.434783,0.778761,0.542857,0.631579,0.819045,0,0.455248
0.478261,0.849558,0.4,0.605263,0.838608,0,0.419447
0.521739,0.893805,0.271429,0.605263,0.797649,0,0.37917
0.565217,0.876106,0.242857,0.657895,0.617611,0,0.342962
0.608696,0.814159,0.257143,0.236842,0.319281,0,0.165175
0.652174,0.699115,0.285714,0.157895,0.090917,0,0.111066
0.695652,0.566372,0.371429,0.342105,0.00293,0,0.191619
0.73913,0.504425,0.485714,0.289474,0.000009,0,0.12083
0.782609,0.460177,0.628571,0.263158,0.000006,0,0.026444
0.826087,0.39823,0.714286,0.131579,0.000018,0,0
0.869565,0.362832,0.757143,0.131579,0,0,0
0.913043,0.327434,0.771429,0.184211,0,0,0.010985
0.956522,0.292035,0.642857,0.052632,0,0,0.004068
1,0.283186,0.557143,0.052632,0,0,0.006916
0,0.256637,0.442857,0,0,0,0.022783
0.043478,0.247788,0.342857,0.052632,0,0,0.071196
0.086957,0.256637,0.371429,0,0.000003,0,0.101709
0.130435,0.238938,0.385714,0,0.000024,0,0.16843
0.173913,0.265487,0.457143,0,0.015598,0,0.342962
0.217391,0.39823,0.571429,0.210526,0.100026,0,0.657445
0.26087,0.415929,0.671429,0.315789,0.167823,0,0.901546
0.304348,0.433628,0.728571,0.473684,0.207101,0,0.939788
0.347826,0.59292,0.728571,0.552632,0.418928,0,0.921481
